iso3,lat,lon
IND,21,78
USA,39,-98
CAN,56,-106
GBR,55,-3
FRA,46,2
DEU,51,10
NLD,52,5
ESP,40,-3
ITA,42,12
RUS,60,100
CHN,35,105
JPN,36,138
KOR,37,127
SGP,1,104
AUS,-25,133
BRA,-10,-51
ZAF,-29,24
EGY,26,30
SAU,24,45
ARE,24,54
IRN,32,53
PAK,30,70
BGD,24,90
IDN,-2,113
THA,15,101
VNM,16,106
PHL,13,122
MYS,4,102
TUR,39,35
UKR,49,31
POL,52,19
SWE,62,15
NOR,61,8
FIN,64,25
DNK,56,10
IRL,53,-8
CHE,47,8
AUT,47,14
BEL,50,4
CZE,49,15
GRC,39,22
PRT,39,-8
HUN,47,20
ROU,45,25
BGR,43,25
ISR,31,35
QAT,25,51
KWT,29,47
NZL,-41,174
ARG,-34,-64
MEX,23,-102
COL,4,-74
PER,-10,-75
VEN,7,-66
CHL,-35,-71
NGA,9,8
KEN,-1,37
ETH,9,40
TZA,-6,35
MAR,31,-7
DZA,28,2
TUN,34,9